username,userid,profile_location,created_at,text,retweet_count,source,coordinates
elizabeth,1481306731426762754,"Chicago, IL",2023-01-20 21:41:40,Alright #BillsMafia out in Seattle land.. I’ll be at @ArtMarble21 on Sunday.. any of y’all in the area?,0,Twitter for iPhone,
Emiliano Aguilar Jr,1225500520758104067,"Whiting, IN",2023-01-20 21:35:07,"Join us in two weeks via Zoom for the first Newberry Borderlands and Latina/o Studies Seminar of 2023! 

Ft. work f… https://t.co/DWNHdiZKov",4,Twitter Web App,
Sarah Spain,18494981,Sweet Home Chicago,2023-01-20 21:30:50,In Seattle I’d feel like a lone wolf without Sue Bird but I’d be part of a Supreme Court* of ballers in New York?… https://t.co/ohEtHnEbsP,0,Twitter for iPhone,
stelio kontos,1377537600773369856,chicago,2023-01-20 21:23:06,why did they always work on each other? was that not a conflict of interest and also too as well were there no othe… https://t.co/gyN6cfW7SY,0,Twitter for iPhone,
HollandofChicago,32174646,Chicago,2023-01-20 21:14:09,I am thinking Portland for @ViolaPlease and @NatashaStrange and their lovely party and then hitting Seattle in the… https://t.co/sXDVwNtd7L,1,Twitter Web App,
joSe,1492229554064314370,"Chicago, IL",2023-01-20 20:41:05,"@indiebuchona the yt hegemony in seattle is fuckin’ bananas 

all the people I know that moved there end up in grou… https://t.co/m5a8cnU9WD",0,Twitter for iPhone,
Alex Han,310532416,"Chicago, IL",2023-01-20 20:40:14,@nackoball I have a distinct memory of being in Seattle several years ago and the huge front page and evening news-… https://t.co/Lr3eWBSxaB,0,Twitter for Android,
Dan O'Shea,78721614,Chicago,2023-01-20 20:33:15,More details from @IonQ_Inc about its new manufacturing plant in the Seattle area... @InQuantumTech https://t.co/0nTcnNhV3H,2,Twitter Web App,
The Sky Show CHI,867056578113024000,"Chicago, IL",2023-01-20 20:17:38,"Seattle, Minnesota, Washington, New York #wnbafreeagency https://t.co/kQSmlIDKr6 https://t.co/nSKHOBLHKe",0,Twitter for iPhone,
Sherron Shabazz,18555946,Chicago,2023-01-20 20:08:35,"Seattle
Dallas
DC
NY

????? https://t.co/fQFarRQ8bA",0,Twitter for iPhone,
Tom Burke,4910413589,Chicago,2023-01-20 19:51:05,Tom Burke visiting ⁦@SeattleAarpr⁩ Garfield Community Center Seattle with ⁦@freedomroadorg⁩ ⁦@FreeAlexSaabOrg⁩ ⁦… https://t.co/O32H4dI928,26,Twitter for iPhone,
rahim,2205329413,"Chicago, IL",2023-01-20 19:17:40,@Shotzzy Need 25+ kills first map against Seattle,0,Twitter for iPhone,
Allowishes 📈,2149815361,Chicago,2023-01-20 19:14:06,"@MoveTheSticks Seattle, Detroit, and Vegas pass on Stroud? Interesting.",0,Twitter for Android,
Adam E Ross (Checkmark),1465790238,New York | Chicago,2023-01-20 18:51:06,If Kshama Sawant’s move to launch a national workers strike back movement and vacating the Seattle City Council are… https://t.co/tb3IPxrWjv,0,Twitter for iPhone,
Language Loop,204564086,Chicago,2023-01-20 18:00:32,"Today is National Cheese Lovers Day! We're celebrating with this unique French class. 

More info:… https://t.co/sdzV95Spzn",0,Twitter Web App,
31st Century LSH Dude,1278071227157004292,"Chicago, IL",2023-01-20 17:12:43,IMMEDIATE RESIGNATIONS ASKED BY WE THE PEOPLE: For Subverting  The Constitution For The United States Of America -… https://t.co/Y4zKFXxEiR,0,Twitter for Android,
Adam Haberman,4821979990,"Chicago, IL",2023-01-20 16:52:21,@ProducerDrew_ Vegas has dominated the division since they were founded. 2nd year Seattle now in first place. And t… https://t.co/a5HRGll7LY,0,Twitter Web App,
Zenah Khawaja,79899568,Chicago,2023-01-20 16:14:29,"@consentuality @steviemctweets There a quite a few examples. None of the affinity programs for women, black or lati… https://t.co/Jnwz1uoYUK",0,Twitter Web App,
